Tahun,Bulan,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Rata-rata
,Oktober,83,453,444,287,226,256,306,170,167,207,348,55,56,33,149,382,287,202,254,108,288,351,386,290,95,378,251,380,338,222,67,243
,November,405,317,111,477,492,495,389,167,119,241,222,411,458,363,363,191,441,311,109,440,357,105,363,261,109,283,423,395,339,234,,313
,Desember,400,74,28,165,76,266,423,430,18,413,315,346,160,480,494,11,227,202,237,376,179,44,393,287,93,302,151,446,472,241,211,257
2002,Januari,227,282,270,38,287,288,218,39,290,405,465,500,37,58,259,316,238,326,139,105,366,290,184,296,46,212,22,284,458,125,156,233
,Februari,16,137,217,398,337,478,213,76,64,309,216,476,259,145,391,187,436,429,75,269,334,8,168,289,216,221,134,493,,,,250
,Maret,199,21,202,261,14,68,10,267,176,429,335,379,41,35,199,364,420,206,488,300,475,223,377,221,108,249,271,312,487,215,490,253
,April,274,314,306,85,71,191,462,263,25,475,306,362,0,57,131,36,489,51,52,373,469,44,77,230,475,268,276,442,48,366,,234
,Mei,198,416,99,17,421,452,102,204,159,358,496,306,123,365,99,21,378,392,314,104,45,196,484,142,474,248,225,320,364,474,139,262
,Juni,415,308,431,106,13,263,133,364,402,13,398,181,43,126,100,413,363,363,244,354,330,414,257,132,212,305,237,410,63,120,,250
,Juli,364,369,277,374,275,104,2,143,37,345,84,480,213,487,322,146,392,163,487,192,173,221,336,147,399,281,84,74,427,54,205,247
,Agustus,117,309,81,239,370,122,304,17,461,205,76,256,387,18,116,212,452,206,354,341,151,482,452,453,378,115,107,6,416,327,371,255
,September,103,388,386,128,482,374,292,408,45,247,433,204,176,228,272,154,423,310,102,305,81,274,405,260,419,57,122,300,228,67,,256
,Oktober,365,230,108,197,216,216,163,26,181,404,338,119,395,123,33,464,219,227,440,222,48,452,421,403,434,265,87,9,110,182,174,235
,November,31,184,461,497,278,332,311,405,438,197,119,415,121,357,13,102,290,465,233,312,25,97,472,147,412,134,456,406,271,223,,273
,Desember,218,223,291,5,30,300,489,247,47,210,306,344,357,206,500,114,470,26,416,367,105,171,459,18,110,349,316,258,8,63,395,239
2003,Januari,50,458,183,54,75,200,211,66,419,300,108,100,67,383,86,422,449,181,441,299,78,87,194,175,453,46,209,458,405,438,391,241
,Februari,70,41,339,458,388,68,97,383,255,271,29,293,168,337,360,469,371,404,203,113,178,165,432,127,385,310,309,236,,,,259
,Maret,41,493,230,100,126,425,496,49,86,193,79,285,71,471,355,409,374,255,179,133,209,330,120,73,350,485,490,419,52,449,278,261
,April,306,108,219,379,415,144,24,200,14,234,434,6,316,463,466,358,83,473,500,144,197,211,326,239,482,453,27,252,360,409,,275
,Mei,279,362,323,262,245,439,169,282,347,395,2,5,145,267,437,276,389,329,252,373,306,405,425,136,80,123,257,33,128,172,288,256
,Juni,80,205,191,228,395,31,166,457,284,257,285,15,344,171,403,7,253,72,293,484,53,499,472,17,452,331,73,183,168,142,,234
,Juli,471,42,401,182,419,258,82,76,385,98,64,397,393,427,453,379,173,466,416,110,351,319,174,11,4,442,131,375,203,467,289,273
,Agustus,381,163,157,71,136,420,54,310,376,16,45,205,33,390,336,200,194,380,109,318,40,47,372,153,316,333,349,420,497,105,29,224
,September,427,440,251,284,99,312,159,236,286,43,93,356,24,2,46,249,211,450,345,473,243,430,36,262,240,448,22,79,412,205,,239
,Oktober,434,415,130,382,111,103,369,387,308,438,63,12,308,19,97,479,262,484,160,450,185,54,442,191,499,5,56,243,288,185,499,260
,November,77,353,463,5,239,301,76,327,164,227,338,161,52,91,96,337,256,39,461,26,294,373,203,60,493,437,427,393,262,310,,245
,Desember,66,456,470,313,437,292,384,296,103,393,263,132,461,307,210,90,433,141,267,122,244,86,288,420,339,172,435,329,383,51,466,285
2004,Januari,375,205,393,327,338,25,51,452,403,145,225,200,3,45,181,89,482,338,28,24,177,247,259,170,72,299,41,198,444,104,276,213
,Februari,327,75,214,157,116,23,318,399,449,328,19,224,185,350,227,170,273,489,97,366,36,181,395,421,152,349,282,106,263,,,241
,Maret,344,313,194,361,456,17,285,397,157,143,146,168,33,260,131,222,121,444,66,316,440,316,264,396,418,133,118,227,351,47,400,248
,April,341,335,372,205,440,453,362,250,374,353,141,407,329,86,328,264,478,335,472,261,208,312,460,204,143,399,397,419,84,457,,322
,Mei,21,318,332,335,66,275,327,67,177,292,139,66,171,319,444,51,412,476,495,3,12,307,43,83,206,334,200,96,297,197,70,214
,Juni,367,459,443,452,147,390,294,411,346,318,480,178,259,357,349,417,347,259,324,414,204,386,159,181,500,500,111,469,335,19,,329
,Juli,463,375,300,181,29,9,181,208,161,468,29,452,404,306,269,409,466,370,460,128,243,30,282,479,222,336,360,103,436,101,484,282
,Agustus,125,205,28,461,399,470,45,330,386,117,478,404,235,432,128,191,427,374,290,18,10,407,344,65,389,200,73,129,7,151,192,242
,September,191,17,491,472,167,158,425,403,164,18,449,31,174,53,67,104,59,117,396,322,296,348,298,159,471,282,491,258,68,230,,239
,Oktober,232,284,25,307,452,193,233,313,211,39,415,404,127,158,101,303,65,62,275,487,387,199,80,64,287,197,386,260,451,112,383,242
,November,23,26,116,477,345,310,379,78,309,207,328,296,402,451,111,10,332,283,455,385,86,267,253,51,153,223,293,461,12,141,,242
,Desember,12,157,353,410,427,301,255,153,330,112,331,301,302,278,281,438,266,356,143,220,380,38,210,408,400,343,243,95,149,318,309,268
2005,Januari,167,83,148,145,297,93,426,271,226,382,387,208,237,61,104,467,91,185,305,415,86,295,329,8,164,463,114,113,169,339,163,224
,Februari,59,21,4,412,168,171,460,469,472,343,24,367,300,362,255,166,281,234,305,68,5,116,312,313,376,87,439,434,,,,251
,Maret,251,467,461,76,272,288,387,54,136,353,369,414,378,370,8,199,83,295,466,451,234,245,430,283,469,216,156,315,41,488,81,282
,April,496,424,74,317,325,192,2,67,112,196,277,390,53,264,497,186,327,256,245,454,368,112,169,208,4,278,475,184,171,50,,239
,Mei,86,390,446,164,481,246,268,54,128,221,50,466,262,499,213,196,140,400,258,388,17,210,224,302,73,390,196,132,146,156,432,246
,Juni,38,420,328,2,214,411,195,23,378,425,214,46,387,321,437,398,48,469,316,480,220,490,264,194,445,48,493,37,45,299,,270
,Juli,451,438,337,165,258,130,437,25,77,36,252,64,177,267,123,459,231,425,430,419,284,204,5,327,195,267,236,53,133,160,22,229
,Agustus,69,44,199,398,221,454,120,492,179,316,167,21,158,9,295,306,420,165,358,328,327,117,389,15,240,56,292,76,161,163,370,223
,September,95,190,263,336,39,299,488,69,134,2,254,204,124,198,85,118,103,161,382,151,450,478,388,22,75,441,475,143,395,214,,226
,Oktober,472,283,129,73,305,94,450,230,6,248,220,50,46,371,146,337,128,223,273,296,296,280,222,90,321,428,160,446,94,285,50,227
,November,54,482,208,424,451,118,107,29,220,11,347,94,152,276,7,391,321,480,173,417,214,80,43,357,384,242,335,457,165,490,,251
,Desember,317,202,338,79,211,20,361,199,192,214,25,499,39,304,10,258,286,91,354,6,430,169,136,302,262,234,397,342,195,460,184,230
2006,Januari,425,276,65,374,468,496,80,499,407,162,69,211,381,431,480,103,434,227,474,386,415,494,263,254,43,137,29,198,222,6,426,288
,Februari,116,376,233,201,190,314,282,202,442,257,355,179,498,445,76,399,91,320,240,484,441,381,29,402,445,337,115,386,,,,294
,Maret,384,152,298,78,88,21,277,237,445,53,95,28,288,214,384,52,71,186,250,238,248,239,345,172,470,378,272,166,165,330,290,223
,April,128,92,352,229,104,469,499,143,368,75,204,42,85,48,4,492,304,63,451,478,490,401,50,220,334,475,473,7,338,217,,255
,Mei,62,157,54,7,479,376,188,302,86,162,80,312,439,81,419,445,122,248,342,73,286,256,409,425,281,421,414,2,414,384,361,261
,Juni,124,406,339,275,103,221,254,465,421,258,13,414,33,149,189,85,188,365,150,141,480,452,65,402,115,207,44,175,457,239,,241
,Juli,458,58,138,54,339,431,271,380,128,58,327,255,10,158,242,241,5,139,278,52,29,221,198,423,345,80,13,105,109,208,112,189
,Agustus,250,171,336,374,305,294,169,318,204,256,417,262,158,282,177,2,480,269,127,245,386,30,54,195,216,289,87,249,457,234,464,250
,September,379,45,17,331,64,372,400,330,175,390,500,302,349,452,91,112,155,137,92,75,128,76,143,143,69,458,357,445,379,15,,233
,Oktober,21,357,322,195,463,51,71,497,325,377,106,30,337,129,443,138,60,14,41,426,81,108,263,158,327,272,482,375,351,463,358,246
,November,174,473,488,462,284,462,144,368,127,255,456,234,302,131,129,460,498,124,111,23,495,438,352,72,146,133,156,75,253,444,,276
,Desember,77,347,79,15,354,288,256,165,295,7,33,389,149,450,28,487,111,207,412,488,163,149,448,121,177,195,272,136,248,95,42,216
2007,Januari,193,273,108,442,461,438,128,268,14,89,252,40,497,413,90,148,96,191,69,338,482,229,372,342,120,18,5,489,461,322,3,238
,Februari,66,337,226,121,323,460,377,83,435,342,43,316,222,135,114,230,33,468,342,23,258,343,455,39,375,350,441,102,,,,252
,Maret,21,232,454,337,366,471,163,216,137,223,108,108,475,92,420,264,224,425,110,344,426,329,30,458,0,141,363,155,158,437,417,261
,April,460,395,91,19,179,237,380,238,249,238,213,206,280,131,180,432,97,175,401,186,368,32,40,124,350,452,145,102,64,370,,228
,Mei,38,64,58,134,105,23,250,95,164,265,265,453,488,239,233,259,227,146,159,322,223,248,4,322,269,121,340,60,417,241,351,212
,Juni,426,303,270,357,351,61,247,461,192,472,47,278,33,366,386,113,342,45,427,498,331,254,220,48,452,50,270,107,192,197,,260
,Juli,299,374,433,450,346,59,85,223,425,131,237,158,293,100,187,179,91,104,258,64,183,117,139,46,70,284,298,169,459,473,34,218
,Agustus,103,88,292,401,278,233,373,22,436,21,76,286,157,334,76,337,46,418,79,87,420,294,499,207,129,221,336,396,209,209,381,240
,September,440,128,302,466,177,477,276,10,161,439,34,479,444,321,482,409,290,55,483,200,221,64,96,230,176,306,499,335,416,456,,296
,Oktober,188,384,412,260,380,419,220,222,135,369,92,107,338,433,443,484,66,121,124,333,77,205,263,267,342,106,407,485,313,485,249,282
,November,302,462,243,397,469,430,216,385,473,259,334,308,219,290,116,310,401,331,99,290,359,328,199,373,229,442,335,32,70,223,,297
,Desember,280,364,57,404,223,204,246,338,35,292,246,26,465,301,253,10,281,381,322,211,50,458,473,433,413,98,203,7,82,10,263,240
2008,Januari,252,490,487,39,385,229,62,382,288,128,471,53,461,127,235,12,256,149,38,259,254,301,123,418,309,87,356,389,100,157,167,241
,Februari,415,182,498,335,434,419,480,464,215,29,371,63,15,443,147,466,15,51,443,201,301,387,171,33,302,410,177,119,457,,,277
,Maret,200,490,488,426,82,7,465,423,189,395,7,299,140,414,243,313,371,382,284,47,248,30,3,93,458,405,463,59,322,180,269,264
,April,281,34,500,89,280,94,107,259,215,317,171,405,309,123,385,464,191,496,286,50,57,213,276,362,308,146,362,216,291,226,,250
,Mei,460,449,111,200,16,131,93,368,458,41,224,135,285,372,90,460,66,447,233,1,193,356,49,229,399,217,67,301,86,189,100,220
,Juni,87,88,455,368,124,401,164,382,244,334,95,14,343,276,171,390,274,349,86,160,312,290,473,89,136,343,243,462,497,414,,269
,Juli,283,258,281,251,47,195,347,74,206,163,229,444,341,198,139,117,74,134,245,380,124,423,277,473,174,289,341,87,268,404,291,244
,Agustus,167,225,72,185,243,454,475,246,200,25,448,239,435,127,408,466,169,142,143,102,54,201,260,466,408,346,386,214,448,324,424,274
,September,150,6,344,310,293,100,188,320,59,281,150,48,65,154,490,345,176,207,367,454,26,251,299,464,451,446,314,312,133,113,,244
,Oktober,266,455,154,329,329,443,354,337,361,81,377,389,291,150,279,269,317,123,331,175,221,154,290,445,99,498,195,279,78,413,406,287
,November,6,394,51,107,262,4,381,477,328,315,51,293,316,282,459,187,184,147,133,201,119,11,228,92,111,67,446,154,193,326,,211
,Desember,17,194,266,202,182,378,15,442,118,237,169,386,294,83,404,173,174,263,468,78,162,410,70,387,102,20,217,366,76,328,135,220
2009,Januari,237,309,442,85,79,62,200,173,292,297,333,242,97,153,199,185,458,256,142,296,396,318,351,419,371,32,267,23,432,327,346,252
,Februari,74,98,411,2,266,463,492,466,318,106,122,260,465,4,475,164,402,396,139,389,54,106,143,250,85,249,314,327,,,,251
,Maret,5,411,381,391,159,376,418,160,317,9,202,282,324,453,266,234,134,438,415,107,500,41,71,389,27,225,469,130,218,491,451,274
,April,278,465,498,248,423,483,260,221,316,226,95,318,53,0,178,175,466,246,369,349,100,30,250,461,29,20,317,157,441,430,,263
,Mei,63,75,110,202,433,30,193,184,4,472,414,364,147,377,341,259,231,439,389,79,169,112,40,265,10,356,308,268,163,482,296,235
,Juni,129,159,137,165,136,343,488,446,475,263,220,390,86,494,185,342,189,340,439,352,375,498,186,463,133,262,200,128,139,290,,282
,Juli,104,283,75,183,95,331,64,405,332,201,251,36,433,122,442,395,375,153,479,287,203,213,465,111,97,384,219,240,376,147,209,249
,Agustus,207,347,123,22,18,63,344,416,33,414,197,305,491,187,162,134,57,480,77,285,432,194,92,118,55,428,135,293,207,249,259,220
,September,363,66,379,344,92,437,370,173,56,423,140,103,419,392,290,52,422,106,207,103,250,63,449,274,266,274,356,49,173,11,,237
,Oktober,248,110,403,101,331,473,96,167,340,421,4,459,174,438,402,222,293,274,83,447,235,204,24,348,32,197,292,442,381,255,138,259
,November,445,266,101,106,456,171,179,162,451,14,274,285,290,370,90,214,443,14,88,6,350,190,53,130,403,180,472,383,109,29,,224
,Desember,119,317,403,54,53,499,165,368,212,26,188,349,137,342,137,450,498,58,6,151,408,474,241,100,478,186,256,146,177,189,131,236
2010,Januari,44,123,26,59,207,121,153,288,143,318,347,340,332,384,295,332,168,86,284,122,431,70,483,81,89,432,243,343,187,29,333,222
,Februari,404,313,474,50,1,190,389,460,329,157,308,357,357,234,392,63,443,272,0,455,228,24,384,221,344,226,277,401,,,,277
,Maret,68,143,170,98,381,14,261,271,178,78,292,150,358,489,286,228,90,314,114,49,498,3,99,12,454,303,151,466,408,127,463,226
,April,497,480,207,327,302,161,162,65,82,417,415,49,249,369,48,352,452,239,64,383,280,410,51,322,199,325,445,298,412,161,,274
,Mei,268,436,231,67,86,393,318,329,261,496,281,0,52,387,11,375,349,454,186,421,149,245,22,9,207,443,426,298,421,464,284,270
,Juni,425,61,24,295,432,332,104,63,151,422,122,370,274,347,228,121,8,303,258,294,36,66,155,329,168,112,284,424,115,239,,219
,Juli,187,4,466,135,224,383,127,362,312,94,110,41,255,356,284,392,469,433,149,10,455,243,186,285,469,122,393,109,476,224,228,258
,Agustus,283,286,92,302,12,38,183,371,120,347,73,241,280,79,358,310,150,230,137,485,200,96,44,318,155,414,263,437,489,452,408,247
,September,318,174,326,170,252,23,406,98,429,370,405,437,86,90,344,398,455,269,244,321,32,466,47,137,319,388,198,14,433,179,,261
,Oktober,464,162,341,82,184,297,228,466,86,117,20,270,400,298,268,458,347,310,246,433,65,445,498,251,314,353,326,392,254,332,182,287
,November,110,300,63,57,272,356,420,459,145,97,182,349,34,112,394,54,84,148,81,481,276,0,24,127,282,358,225,346,12,57,,197
,Desember,352,421,434,168,268,123,327,113,205,201,126,326,405,173,460,97,410,401,34,215,202,49,310,165,492,441,283,231,358,473,221,274
2011,Januari,470,78,161,75,399,2,3,261,226,46,90,262,292,362,483,107,432,78,124,44,275,250,303,239,296,441,365,332,282,452,163,238
,Februari,257,432,218,205,404,272,315,80,221,15,152,464,82,378,407,57,164,12,4,451,54,178,389,203,357,238,195,55,,,,224
,Maret,7,122,304,425,481,224,375,238,302,424,75,6,57,101,2,374,69,17,206,152,426,479,313,486,35,363,407,156,196,437,276,243
,April,87,213,328,470,170,486,128,117,422,381,408,498,351,261,293,182,15,69,83,191,330,318,149,88,493,344,304,289,480,192,,271
,Mei,317,341,374,240,173,309,390,302,286,422,200,472,471,176,247,491,52,330,329,280,352,177,84,150,228,45,271,315,60,183,215,267
,Juni,390,284,244,174,229,42,492,81,58,425,196,94,93,197,444,129,165,376,410,466,27,233,279,232,283,72,150,296,457,435,,248
,Juli,308,216,106,294,412,114,245,19,245,74,419,412,150,160,491,281,434,127,386,223,204,311,303,368,498,319,72,144,1,235,157,249
,Agustus,451,306,165,68,412,165,264,365,98,497,131,51,309,311,16,249,37,470,361,194,271,30,7,128,287,291,206,205,463,323,21,231
,September,0,39,42,226,54,167,133,208,85,92,418,66,362,383,115,214,132,216,6,22,160,276,304,12,361,48,24,371,237,86,,162
,Oktober,193,299,195,292,322,156,486,16,498,63,444,398,227,208,152,194,137,385,90,125,448,178,339,140,334,214,164,285,430,170,219,252
,November,267,75,362,127,263,393,418,283,340,382,338,307,87,293,52,473,392,103,40,136,262,499,231,96,154,83,425,167,109,431,,253
,Desember,167,145,374,445,126,282,321,391,442,331,406,86,398,445,110,268,332,404,292,288,184,334,438,229,443,121,304,364,288,64,460,299
2012,Januari,320,376,461,452,313,208,429,6,400,246,479,475,467,438,470,391,243,21,451,376,457,346,425,485,343,357,161,308,276,235,213,343
,Februari,6,379,124,356,6,76,279,280,189,422,78,289,412,90,309,161,308,78,226,49,275,328,119,280,33,194,465,310,312,,,222
,Maret,422,259,248,322,298,28,48,44,435,378,419,236,17,434,206,170,65,284,304,103,428,349,92,437,222,126,97,57,256,200,456,240
,April,193,332,285,17,217,0,391,59,298,126,351,327,5,457,188,345,65,61,472,396,435,161,239,404,215,416,56,163,399,295,,246
,Mei,312,264,380,10,496,211,225,165,238,379,363,475,211,10,336,462,29,377,308,5,112,13,200,232,467,405,123,355,124,15,13,236
,Juni,290,314,481,409,151,293,28,437,329,395,206,447,375,32,351,15,297,176,366,424,462,317,79,39,177,257,325,72,99,485,,271
,Juli,185,187,486,297,258,469,470,423,318,484,65,110,177,363,338,290,328,489,62,344,35,383,462,229,66,118,472,361,437,434,294,304
,Agustus,32,12,387,142,396,288,145,60,448,5,31,8,87,122,183,152,330,56,218,239,227,350,395,390,275,398,141,346,223,88,453,214
,September,269,286,366,229,240,472,84,155,199,370,84,425,270,299,29,25,52,426,60,329,415,112,294,253,421,227,488,422,420,162,,263
,Oktober,329,270,496,377,22,430,451,117,25,462,465,298,429,393,101,338,129,408,164,308,100,284,277,350,273,268,422,121,25,2,7,263
,November,487,228,182,463,371,165,378,230,254,164,8,19,264,415,276,380,327,76,2,416,97,449,440,181,230,155,355,309,159,72,,252
,Desember,421,426,269,402,99,342,194,322,309,300,50,14,367,261,436,178,461,41,316,124,366,474,354,148,50,131,451,245,73,56,433,262
2013,Januari,417,413,480,171,74,451,201,308,163,171,348,243,76,267,6,448,222,282,140,256,9,101,105,71,159,426,423,341,277,325,63,240
,Februari,233,492,490,409,26,348,47,439,121,238,401,438,454,391,279,495,486,21,178,80,27,313,374,237,180,497,270,391,,,,298
,Maret,140,443,478,439,380,308,497,30,382,151,99,197,235,388,440,192,146,37,307,101,138,40,433,201,57,143,39,164,84,148,247,229
,April,97,64,323,472,401,157,244,192,83,268,393,355,438,250,468,217,71,31,86,270,323,344,132,428,88,256,18,311,375,305,,249
,Mei,1,234,442,446,467,243,45,62,312,467,207,232,408,282,313,389,368,219,500,35,102,357,26,434,130,472,100,317,300,329,365,278
,Juni,210,434,261,364,115,266,405,294,121,124,166,94,416,109,160,451,105,427,392,104,257,288,199,177,66,348,217,45,112,76,,227
,Juli,421,151,300,344,154,40,435,192,31,294,94,479,67,255,115,419,204,196,402,21,373,126,142,132,211,61,285,95,160,458,33,216
,Agustus,443,393,0,382,207,114,102,149,470,27,149,484,99,77,348,209,491,122,78,116,500,487,64,192,211,406,5,308,231,139,346,237
,September,20,40,241,401,407,445,113,252,489,392,442,312,46,69,340,495,63,392,401,338,483,360,32,483,166,174,308,33,147,266,,272
,Oktober,332,478,394,69,387,450,238,482,396,175,373,236,338,37,302,18,337,472,370,441,414,459,337,133,126,233,157,482,449,296,111,307
,November,112,194,30,148,446,338,436,24,492,429,16,161,15,494,113,415,54,335,379,58,463,349,292,412,115,82,409,240,366,272,,256
,Desember,181,353,475,320,261,445,193,26,223,264,481,415,464,384,265,9,177,52,318,177,222,172,484,234,433,120,94,109,82,355,189,257
